         98025 function calls (97931 primitive calls) in 0.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/structures.py:46(__setitem__)
       22    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:300(add)
       13    0.000    0.000    0.239    0.018 /usr/lib/python3.10/ssl.py:1292(recv_into)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/cookiejar.py:1685(extract_cookies)
        1    0.000    0.000    0.063    0.063 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:209(__init__)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/_policybase.py:289(_sanitize_header)
        3    0.000    0.000    0.002    0.001 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:122(decompress)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/socket.py:220(__init__)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:577(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:122(put)
      195    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:1360(_real_close)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:1255(sendall)
        6    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/models.py:658(__init__)
       32    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/structures.py:51(__getitem__)
        1    0.000    0.000    0.167    0.167 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/connection.py:27(create_connection)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:564(get_content_type)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7a7e63e00b80}
        3    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/url.py:367(parse_url)
        2    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/adapters.py:359(build_response)
        5    0.000    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:316(__init__)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/request.py:191(body_to_chunks)
        2    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/utils.py:204(get_netrc_auth)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:229(expanduser)
       24    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
       19    0.000    0.000    0.003    0.000 {method 'join' of 'bytes' objects}
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:909(__iter__)
       18    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:224(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
        3    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/utils.py:765(should_bypass_proxies)
        2    0.000    0.000    0.281    0.140 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:678(__new__)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:154(get)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.10/http/client.py:224(parse_headers)
       10    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/structures.py:40(__init__)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:128(__next__)
       42    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:139(__init__)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:755(encode)
       33    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:547(<listcomp>)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:828(__contains__)
        1    0.000    0.000    0.067    0.067 /usr/lib/python3.10/socket.py:938(getaddrinfo)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:417(close)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:562(set_alpn_protocols)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.10/email/parser.py:41(parse)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:101(push)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/utils.py:52(_has_surrogates)
       33    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:524(get_text)
       39    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2168(get)
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
       39    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/cookies.py:35(__init__)
       54    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:490(_make_match_rules)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      196    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.167    0.167 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:192(_new_conn)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
       10    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/cookiejar.py:1266(__init__)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.10/email/parser.py:59(parsestr)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:29(_splitparam)
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/response.py:40(assert_header_parsing)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:248(__init__)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/_policybase.py:319(header_fetch_parse)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:479(set_raw)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
